model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260720,1.0,1.0,1.0,24,1,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260721,1.0,1.0,1.0,36,2,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260723,0.9027777777777778,0.8647584973166369,0.9988425925925927,108,6,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260724,0.9895833333333333,0.9895822029300054,1.0,96,4,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260727,0.9333333333333333,0.9142857142857144,0.9685185185185186,96,5,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260728,0.9652777777777778,0.9572619132416839,0.9583333333333334,120,6,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260729,0.9375,0.9238095238095239,0.943287037037037,120,6,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260730,0.8819444444444444,0.8578496272036792,0.9221643518518519,120,6,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260731,0.8988095238095237,0.8773488481798883,0.9206349206349207,120,7,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,all_held_out_predictions,0.9101824552407811,0.8973729591139512,0.9352406742725291,886,45,11
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260715,0.9583333333333333,0.9582608695652174,1.0,24,1,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260717,0.75,0.7333333333333334,1.0,24,1,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260720,1.0,1.0,1.0,24,1,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260721,1.0,1.0,1.0,36,2,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260723,0.9791666666666667,0.9693617021276595,1.0,108,6,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260724,0.9791666666666667,0.9791576204950065,0.9830729166666667,96,4,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260727,0.9166666666666667,0.893569844789357,0.9476851851851852,96,5,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260728,0.9131944444444444,0.9131944444444444,0.9615162037037037,120,6,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260729,0.9444444444444444,0.9321266968325792,0.9195601851851851,120,6,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260730,0.8854166666666666,0.8657342657342657,0.8729745370370371,120,6,1
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260731,0.7909891598915989,0.7157456748667785,0.8218157181571816,118,7,1
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,all_held_out_predictions,0.9124631457505448,0.9006622861910721,0.956979340255523,886,45,11
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,exp_20260715,0.9583333333333333,0.9582608695652174,0.9583333333333333,24,1,1
