representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8012842601959805,0.8004052208764122,0.9065882582978698,3540,5,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7087540507901755,0.7035428911121394,0.8758566319122374,4488,6,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8302423069836005,0.8167455694032738,0.9405675020852567,4776,6,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7865430632848646,0.7787271681776221,0.9108654088428946,5286,9,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.8241054766006317,0.8255356083140702,0.941114459974481,5004,6,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.788973717747565,0.7875125861088165,0.9147000107386244,44631,62,14
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.7807135647862342,0.7976416320533476,0.9533539661417567,1521,3,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.7151951058201057,0.7137555524970113,0.8817176706716637,1656,2,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.9103260869565218,0.9098068924331599,0.9856082920050021,852,1,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7205432098765431,0.7136104081838583,0.8517130534665843,2190,3,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8047949735449736,0.804404285694738,0.9383409177199686,4140,5,1
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8475867629231564,0.8478911555333039,0.9540120436518414,4759,6,1
