representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left_close,0.9894478280561237
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top,0.9952003654563233
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top,0.9938482848378717
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top,0.9933386381970553
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top_close,0.9856241880321094
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top_close,0.9873322944389691
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top_close,0.9850484866485821
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,extreme,0.9938006580081926
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,extreme,0.993381922883875
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,extreme,0.995697446081045
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,front,0.9901285034567341
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,front,0.983504720396569
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,front,0.9899455526942124
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left,0.9826189544439585
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left,0.9833813860506442
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left,0.9674271588699556
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left_close,0.9958611078789156
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left_close,0.9621300030081966
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left_close,0.9853464969989173
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top,0.9936625711665319
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top,0.9920845815607721
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top,0.9873867710879394
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top_close,0.9886417496574073
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top_close,0.988434033751715
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top_close,0.9827091855072068
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,extreme,0.9903748569287036
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,extreme,0.9940702421812795
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,extreme,0.9926978267890925
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,front,0.9899938941847239
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,front,0.9895904040939704
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,front,0.989114494159471
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left,0.9707034243295675
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left,0.9622414369864806
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left,0.9600921348981176
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left_close,0.9927543191751428
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left_close,0.9927890023695485
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,left_close,0.9918120264921191
dinov2,dark_60pct,exp_20260731,frost_cycle_000073,top,0.993178832360905
